normalized,filtered
"['overall', 'experiencenya', 'memuaskan', 'breakfast', 'variatif', 'dan', 'kamar', 'spacey', 'dan', 'bersih', 'khusus', 'balkon', 'kalau', 'mau', 'buka', 'pintunya', 'by', 'request', 'ke', 'resepsionis', 'ya']","['overall', 'experiencenya', 'memuaskan', 'breakfast', 'variatif', 'kamar', 'spacey', 'bersih', 'khusus', 'balkon', 'kalau', 'mau', 'buka', 'pintunya', 'by', 'request', 'resepsionis']"
"['hotel', 'dengan', 'lokasi', 'strategis', 'dekat', 'bandara', 'adisucipto', 'dan', 'mall', 'makanan', 'enak', 'dan', 'beragam', 'fasilitas', 'hotel', 'cukup', 'lengkap', 'ada', 'kolam', 'renang', 'di', 'lantai', 'atas', 'dan', 'gym', 'interior', 'ornamen', 'khas', 'yogya', 'ruang', 'meeting', 'luas', 'tapi', 'blower', 'ac', 'berisik']","['hotel', 'lokasi', 'strategis', 'dekat', 'bandara', 'adisucipto', 'mall', 'makanan', 'enak', 'beragam', 'fasilitas', 'hotel', 'cukup', 'lengkap', 'kolam', 'renang', 'lantai', 'atas', 'gym', 'interior', 'ornamen', 'khas', 'yogya', 'ruang', 'meeting', 'luas', 'blower', 'ac', 'berisik']"
"['menu', 'masakannya', 'enak', 'pelayanan', 'bagus', 'sempat', 'minta', 'dilayani', 'mbak', 'fifin', 'cepat', 'dan', 'tidak', 'berteletele']","['menu', 'masakannya', 'enak', 'pelayanan', 'bagus', 'sempat', 'minta', 'dilayani', 'mbak', 'fifin', 'cepat', 'berteletele']"
"['pelayanan', 'yang', 'memuaskan', 'kebersihan', 'dan', 'kerapihan', 'semua', 'kamar', 'dan', 'ruangan', 'selalu', 'terjaga', 'serta', 'breakfast', 'yang', 'cukup', 'menarik']","['pelayanan', 'memuaskan', 'kebersihan', 'kerapihan', 'semua', 'kamar', 'ruangan', 'selalu', 'terjaga', 'breakfast', 'cukup', 'menarik']"
"['menginap', 'd', 'n', 'sangat', 'nyaman', 'alhamdulillah', 'lokasi', 'sangat', 'strategis', 'dan', 'pelayanan', 'cukup', 'ramah', 'di', 'sekeliling', 'hotel', 'banyak', 'tempat', 'makan', 'enak', 'seberang', 'hotel', 'ada', 'bakmi', 'batas', 'kota', 'yang', 'ternyata', 'enak', 'makin', 'malam', 'makin', 'rame', 'pengunjungnya']","['menginap', 'd', 'n', 'sangat', 'nyaman', 'alhamdulillah', 'lokasi', 'sangat', 'strategis', 'pelayanan', 'cukup', 'ramah', 'sekeliling', 'hotel', 'banyak', 'tempat', 'makan', 'enak', 'seberang', 'hotel', 'bakmi', 'batas', 'kota', 'ternyata', 'enak', 'makin', 'malam', 'makin', 'rame', 'pengunjungnya']"
"['sarapan', 'pagi', 'sangat', 'enak', 'enak', 'dan', 'pelayanan', 'atas', 'nama', 'fifin', 'sangat', 'cepat', 'dan', 'ramah']","['sarapan', 'pagi', 'sangat', 'enak', 'enak', 'pelayanan', 'atas', 'nama', 'fifin', 'sangat', 'cepat', 'ramah']"
"['fasilitas', 'kamar', 'hotel', 'lengkap', 'tidak', 'ada', 'kendala', 'parkir', 'memadai', 'makanan', 'lengkap', 'banyak', 'pilihan', 'mulai', 'dari', 'dissert', 'menu', 'modern', 'dan', 'tradisional', 'minuman', 'juga', 'lengkap', 'best', 'service']","['fasilitas', 'kamar', 'hotel', 'lengkap', 'kendala', 'parkir', 'memadai', 'makanan', 'lengkap', 'banyak', 'pilihan', 'mulai', 'dissert', 'menu', 'modern', 'tradisional', 'minuman', 'lengkap', 'best', 'service']"
"['hospitality', 'ny', 'bagus', 'kamar', 'bersih', 'untuk', 'breakfast', 'paling', 'enak', 'curry', 'beef', 'ny', 'mantab']","['hospitality', 'ny', 'bagus', 'kamar', 'bersih', 'breakfast', 'paling', 'enak', 'curry', 'beef', 'ny', 'mantab']"
"['sarapan', 'mantap', 'and', 'mak', 'yus']","['sarapan', 'mantap', 'and', 'mak', 'yus']"
"['iftar', 'disini', 'seru', 'abiss', 'tempat', 'nyaman', 'makanan', 'enak', 'pelayanan', 'restaurant', 'sangat', 'baik', 'recomendeddddd']","['iftar', 'disini', 'seru', 'abiss', 'tempat', 'nyaman', 'makanan', 'enak', 'pelayanan', 'restaurant', 'sangat', 'baik', 'recomendeddddd']"
